,year,numhurr
1,1850,3
2,1851,3
3,1852,5
4,1853,4
5,1854,3
6,1855,4
7,1856,4
8,1857,3
9,1858,6
10,1859,7
11,1860,5
12,1861,6
13,1862,3
14,1863,5
15,1864,3
16,1865,3
17,1866,5
18,1867,6
19,1868,3
20,1869,6
21,1870,10
22,1871,6
23,1872,4
24,1873,3
25,1874,4
26,1875,5
27,1876,4
28,1877,3
29,1878,10
30,1879,6
31,1880,9
32,1881,4
33,1882,5
34,1883,3
35,1884,4
36,1885,6
37,1886,10
38,1887,11
39,1888,6
40,1889,6
41,1890,2
42,1891,7
43,1892,5
44,1893,10
45,1894,5
46,1895,2
47,1896,6
48,1897,3
49,1898,5
50,1899,5
51,1900,3
52,1901,5
53,1902,3
54,1903,7
55,1904,3
56,1905,1
57,1906,6
58,1907,0
59,1908,6
60,1909,6
61,1910,3
62,1911,3
63,1912,4
64,1913,4
65,1914,0
66,1915,5
67,1916,10
68,1917,2
69,1918,4
70,1919,2
71,1920,4
72,1921,5
73,1922,3
74,1923,4
75,1924,5
76,1925,2
77,1926,8
78,1927,4
79,1928,4
80,1929,3
81,1930,2
82,1931,3
83,1932,6
84,1933,11
85,1934,7
86,1935,5
87,1936,7
88,1937,4
89,1938,4
90,1939,3
91,1940,6
92,1941,4
93,1942,4
94,1943,5
95,1944,8
96,1945,5
97,1946,3
98,1947,5
99,1948,6
100,1949,7
101,1950,11
102,1951,8
103,1952,5
104,1953,7
105,1954,7
106,1955,10
107,1956,4
108,1957,3
109,1958,7
110,1959,7
111,1960,4
112,1961,8
113,1962,3
114,1963,7
115,1964,6
116,1965,4
117,1966,7
118,1967,6
119,1968,4
120,1969,12
121,1970,5
122,1971,6
123,1972,3
124,1973,4
125,1974,4
126,1975,6
127,1976,6
128,1977,5
129,1978,5
130,1979,5
131,1980,9
132,1981,7
133,1982,2
134,1983,3
135,1984,5
136,1985,7
137,1986,4
138,1987,3
139,1988,5
140,1989,7
141,1990,8
142,1991,4
143,1992,4
144,1993,4
145,1994,3
146,1995,11
147,1996,9
148,1997,3
149,1998,10
150,1999,8
151,2000,8
152,2001,9
153,2002,4
154,2003,7
155,2004,9
156,2005,15
157,2006,5
158,2007,6
159,2008,8
160,2009,3
161,2010,12
162,2011,7
163,2012,10
164,2013,2
165,2014,6
166,2015,4
167,2016,1
